,title,price,link
0,"Apple 2024 MacBook Air 13â€³ Laptop with
                                M3 chip: 34.46 cm (13.6â€³) Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage,
                                Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight  ","1,04,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MDcyOTQ5MDEyMzA0Nzg6MTcyOTY5MDA0MDpzcF9hdGY6MzAwMzUwNjk4MzE0MjMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX2532GD%2Fref%3Dsr_1_1_sspa%3Fcrid%3DXFGU4EUBZF6J%26dib%3DeyJ2IjoiMSJ9.MRd60dKA8Kt0qkW_Qpv-3ImXq-WAJEHoB6gl6y-ZPQO-IKzwL-MiyTcUdmcfJVJJhZcSZQcD1u-1s_YD8jAzr2uZB6CNN0Ke6G6R4OplqxFaDC0W70WV8cs7fMuxU95hT-WgLtRaRwSOhzg5Ri8Q9xFzMfC4YUaijl1Y7jU4fYWrN_YN5Zef20L2OiaK69LhWYazzsfXlhyTU3mXNqy4Pbz4vf8RTi0DhY97i8ejKGU.UqDLepBJ2vgyq648JvqiaudVD3hPx-0vFQKwWtyso-w%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729690040%26sprefix%3Dlaptop%252Caps%252C293%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","47,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjA0NjY5MTg3NjcyNjQwOjE3Mjk2OTAwNDk6c3BfbXRmOjMwMDE3OTQ3ODc3NzUzMjo6MDo6&url=%2FAcer-i7-1255U-Premium-Windows-AL15-52%2Fdp%2FB0D262KC1J%2Fref%3Dsr_1_27_sspa%3Fcrid%3DXFGU4EUBZF6J%26dib%3DeyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729690049%26sprefix%3Dlaptop%252Caps%252C293%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
2,"ASUS TUF F17 Gaming Laptop, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) 144Hz, (8GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), FX706HF-HX018W  ","48,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjA0NjY5MTg3NjcyNjQwOjE3Mjk2OTAwNDk6c3BfbXRmOjMwMDExOTI5NjkzNTQzMjo6MDo6&url=%2FASUS-i5-11400H-17-3-inch-GeForce-FX706HF-HX018W%2Fdp%2FB0C27VNNWH%2Fref%3Dsr_1_28_sspa%3Fcrid%3DXFGU4EUBZF6J%26dib%3DeyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729690049%26sprefix%3Dlaptop%252Caps%252C293%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"HP Laptop 255 G9 (2024), AMD Athlon Silver 3050U - (8GB/256GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021 Pro Plus  ","24,490",https://amazon.in//HP-Laptop-255-Athlon-Silver/dp/B0DJCTPW2L/ref=sr_1_29?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68&dib_tag=se&keywords=laptop&qid=1729690049&sprefix=laptop%2Caps%2C293&sr=8-29
4,JioBook 11 Android 4G Laptop (Mediatek 8788 Octa-core 2 GHz/ARM Mali G72 MP3 @800 MHz/29.5cms 60 Hz/Thin and Light Laptop/ 4 GB LPDDR4/ 64 GB eMMC/JioOS/Dual Band Wi-Fi/Blue/ 990 GMS)/Office Included  ,"12,750",https://amazon.in//JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_30?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68&dib_tag=se&keywords=laptop&qid=1729690049&sprefix=laptop%2Caps%2C293&sr=8-30
5,"HP 15 Core i5 13th Gen (16GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Windows 11/MS Office' 21/Backlit Keyboard/Silver/ 1.59 kg) fd0221TU Laptop  ","55,900",https://amazon.in//HP-Windows-Backlit-Keyboard-fd0221TU/dp/B0CTKHG3F6/ref=sr_1_31?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68&dib_tag=se&keywords=laptop&qid=1729690049&sprefix=laptop%2Caps%2C293&sr=8-31
6,"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg  ","36,990",https://amazon.in//Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_32?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68&dib_tag=se&keywords=laptop&qid=1729690049&sprefix=laptop%2Caps%2C293&sr=8-32
7,"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (8GB/512GB SSD/Intel Integrated UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021  ","37,890",https://amazon.in//Lenovo-V14-G3-Intel-1235U/dp/B0DGL4G9Q9/ref=sr_1_33?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68&dib_tag=se&keywords=laptop&qid=1729690049&sprefix=laptop%2Caps%2C293&sr=8-33
8,"ASUS X515, 15.6"" FHD (1920 x 1080) 16:9, 60Hz 200nits, Intel Pentium Gold 7505, Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home/37WHr Battery/Transparent Silver/1.80 kg), X1500EA-EJ122WS  ","23,990",https://amazon.in//ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS/dp/B0CZ3K42DX/ref=sr_1_5?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.MRd60dKA8Kt0qkW_Qpv-3ImXq-WAJEHoB6gl6y-ZPQO-IKzwL-MiyTcUdmcfJVJJhZcSZQcD1u-1s_YD8jAzr2uZB6CNN0Ke6G6R4OplqxFaDC0W70WV8cs7fMuxU95hT-WgLtRaRwSOhzg5Ri8Q9xFzMfC4YUaijl1Y7jU4fYWrN_YN5Zef20L2OiaK69LhWYazzsfXlhyTU3mXNqy4Pbz4vf8RTi0DhY97i8ejKGU.UqDLepBJ2vgyq648JvqiaudVD3hPx-0vFQKwWtyso-w&dib_tag=se&keywords=laptop&qid=1729690040&sprefix=laptop%2Caps%2C293&sr=8-5
9,"HP 15s Core i3 12th Gen (8GB RAM/512GB SSD/FHD/MS Office 21/Windows 11/15.6"" (39.6cm)/Silver/1.69 kg) fy5011TU Laptop  ","34,990",https://amazon.in//HP-Office-Windows-39-6cm-fy5011TU/dp/B0D4LZMJ5Z/ref=sr_1_34?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68&dib_tag=se&keywords=laptop&qid=1729690049&sprefix=laptop%2Caps%2C293&sr=8-34
